ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
010,Polysaccharides,KULFFI-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,Polysaccharides,KULFFI-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012,Oligosaccharides,KULFFI-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,Oligosaccharides,KULFFI-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,Oligosaccharides,KULFFI-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,Oligosaccharides,KULFFI-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,Oligosaccharides,Inulin,3.4.E+06,Undetermined,3.9.E+07,1.5.E+06,3.1.E+06,Undetermined,Undetermined,2.1.E+06,1.6.E+06,5.3.E+06,1.3.E+06,6.0.E+05,1.1.E+08,7.0.E+06,Undetermined,1.1.E+07,9.9.E+07,1.4.E+07,3.1.E+06,1.5.E+07,2.1.E+07,2.7.E+07,4.6.E+06,5.9.E+06,2.2.E+06,1.3.E+07,Undetermined,Undetermined,Undetermined,Undetermined,4.4.E+05,1.8.E+07,1.7.E+07,Undetermined,Undetermined,1.5.E+07,1.1.E+06,1.0.E+07,3.7.E+06,3.9.E+07,1.8.E+05,1.2.E+06,2.9.E+08,1.0.E+04,Undetermined,2.9.E+07,2.6.E+07,4.5.E+07,7.1.E+07,Undetermined,1.6.E+06,8.4.E+06
017,Oligosaccharides,KULFFI-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018,Oligosaccharides,Resistant maltodextrin,2.4.E+06,Undetermined,3.1.E+07,4.4.E+06,2.5.E+06,Undetermined,Undetermined,1.2.E+06,1.7.E+06,8.3.E+06,1.8.E+06,1.2.E+06,9.9.E+07,5.1.E+06,Undetermined,5.6.E+06,8.2.E+07,1.2.E+07,7.4.E+06,4.4.E+07,1.4.E+07,1.1.E+08,7.2.E+06,4.0.E+06,1.6.E+06,1.0.E+07,Undetermined,Undetermined,Undetermined,Undetermined,2.0.E+05,9.9.E+06,1.9.E+07,Undetermined,Undetermined,8.1.E+06,6.4.E+05,1.3.E+07,1.7.E+06,2.6.E+07,2.1.E+05,1.2.E+06,1.6.E+08,Undetermined,Undetermined,3.0.E+07,1.6.E+07,4.7.E+07,5.9.E+07,Undetermined,1.5.E+06,8.6.E+06
019,Oligosaccharides,KULFFI-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
